<<<<<<< HEAD
<<<<<<< HEAD,,,,,,,,,,,,,,,,,,,,
fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
1001,1/13/2017,0,101.5,9.8,16.7,13.88,13.88,23.88,10.98,12.91,15.8,1.57,2.21,0.73,1.48,3.11,5.52,1.24,4.29,
1001,1/14/2017,0,101.42,8.73,16.9,12.09,12.09,23.12,11.37,11.75,14.44,0.95,2.09,0.36,1.73,1.43,3.76,0.53,3.24,
1001,1/15/2017,0,100.95,8.81,15.88,12.17,12.17,21.21,11.65,9.56,14.23,1.19,2.18,0.44,1.74,2.33,5.99,0.58,5.41,
1001,1/16/2017,0,100.73,9.69,15.81,13.55,13.55,22.07,10.72,11.35,15.71,2.33,3.11,1.87,1.24,5.05,6.42,3.19,3.23,
1001,1/17/2017,0.14,100.6,11.41,17.21,16.06,16.06,23.03,13.15,9.88,17.1,2.24,3.61,1.71,1.9,4.93,5.9,2.76,3.15,2
1001,1/18/2017,0.28,100.49,11.25,17.66,15.87,15.87,22.27,14.88,7.39,17.18,1.48,1.99,0.88,1.11,3.03,4.86,1.33,3.53,
1001,1/19/2017,27.01,99.81,12.32,17.53,17.15,17.15,21.02,14.52,6.5,17.43,2.59,3.85,1.61,2.24,5.3,7.49,3.32,4.17,
1001,1/20/2017,6.78,99.47,12.22,18.12,17,17,22.51,14.87,7.65,18.03,2.19,3.81,1.42,2.39,4.79,7.4,3.09,4.31,
1001,1/21/2017,37.95,99.02,12.76,18.19,17.63,17.63,20.88,17.13,3.75,18.1,2.52,4.07,1.26,2.81,5.18,7.34,3.23,4.11,
1001,1/22/2017,31.59,97.97,10.48,15.45,13.87,13.87,21.7,9.38,12.32,15.36,3.4,8.13,1.61,6.52,6.14,12.19,2.69,9.49,
1001,1/23/2017,0.85,98.79,6.99,11.56,8.4,8.4,16.39,7.07,9.32,11.53,4.44,6.09,2.35,3.74,7.79,10.25,5.03,5.22,
1001,1/24/2017,0,99.72,5.6,9.27,5.34,5.35,16.23,4.18,12.06,8.95,1.82,2.34,1.03,1.31,3.52,6.49,1.47,5.02,1
1001,1/25/2017,8.16,99.57,9,13.37,11.81,11.81,20.23,4.82,15.41,13.27,2.53,3.42,1.77,1.64,5.13,6.67,2.66,4.01,
1001,1/26/2017,1.51,100.18,5.52,9.54,4.65,4.66,15.18,3.4,11.78,9.49,2.98,3.84,2.02,1.82,5.7,6.37,4.78,1.59,
1001,1/27/2017,0,100.6,3.64,3.63,-0.61,-0.58,8.21,0.05,8.17,3.73,2.56,4.12,1.64,2.48,5.01,6.37,3.67,2.7,
1001,1/28/2017,0,100.45,3.58,4.01,-0.85,-0.81,11.15,-2.01,13.16,4.05,2.39,4.15,1.01,3.14,4.97,6.99,1.71,5.28,
1001,1/29/2017,0,100.19,4.3,5.63,1.69,1.7,12.96,0.06,12.9,5.65,2.85,4.7,1.78,2.92,5.63,7.71,3.5,4.21,
1001,1/30/2017,0,100.52,4.89,6.42,3.34,3.35,14.88,-1.13,16.01,6.37,2.11,2.83,1.33,1.5,4.65,6.82,1.9,4.93,
1001,1/31/2017,0,100.37,7.31,11.38,9.21,9.21,20.29,5.05,15.24,11.32,2.31,3,1.76,1.24,5,7.4,2.88,4.52,1
1001,2/1/2017,0,100.47,8.44,13.3,11.46,11.46,20.11,7.41,12.7,13.2,2.37,3.64,1.7,1.94,5.25,5.84,3.69,2.15,
1001,2/2/2017,1.43,100.66,9.1,13.75,12.46,12.46,20.82,8.1,12.72,13.68,1.88,2.6,0.95,1.65,3.75,5.65,1.92,3.73,
1001,2/3/2017,0.33,101.03,4.85,7.45,3.2,3.22,13.34,0.68,12.66,7.52,2.71,3.99,1.86,2.13,4.69,6.54,3.03,3.51,
1001,2/4/2017,0,101.17,3.61,4.32,-0.88,-0.84,12.04,-2.74,14.78,4.39,2.09,2.9,1.35,1.55,4.19,6.38,2.05,4.32,
1001,2/5/2017,12.8,100.75,6.24,7.65,6.92,6.92,11.21,3.73,7.48,7.61,1.21,1.98,0.69,1.29,2.37,4.67,1.25,3.42,
1001,2/6/2017,1.02,100.46,9.29,13.88,12.71,12.71,20.09,8.53,11.56,13.86,2,2.64,1.12,1.52,4.17,6.06,2.82,3.24,
1001,2/7/2017,28.64,99.59,11.06,15.61,15.39,15.39,18.65,12.1,6.55,15.37,2.78,4.4,1.65,2.76,5.61,7.67,3.76,3.91,1
1001,2/8/2017,3.45,99.36,11.66,17.41,16.17,16.17,22.31,13.16,9.15,17.29,2.56,5.95,1.65,4.31,5.35,9.76,2.85,6.91,
1001,2/9/2017,0.01,100.89,4.04,6.53,0.77,0.8,11.88,1.08,10.8,6.57,3.38,5.1,1.54,3.56,6.13,8.42,3.79,4.64,
1001,2/10/2017,0,101.16,4.94,7.78,3.11,3.13,17.03,-0.53,17.55,7.72,2.32,3.07,1.69,1.38,4.89,7.09,2.81,4.28,
1001,2/11/2017,0,100.58,10.42,15.8,14.31,14.31,22.47,7.33,15.14,15.78,2.93,3.72,2.22,1.5,5.79,6.93,3.87,3.06,
1001,2/12/2017,0.26,100.45,11.91,18.91,16.58,16.58,23.89,12.49,11.39,18.81,2.97,4.14,1.79,2.34,5.78,7.42,4.38,3.04,
1001,2/13/2017,0,100.6,5.35,10.56,4.65,4.66,17.69,5.34,12.35,10.35,2.31,3.07,1.41,1.66,4.56,6.06,2.62,3.44,
1001,2/14/2017,0.2,99.79,6.63,11.73,7.41,7.41,19.77,3.61,16.16,11.68,1.73,3.03,0.35,2.68,3.84,6.75,0.39,6.36,1
1001,2/15/2017,6.42,99.47,7.1,11.98,8.01,8.01,16.3,3.3,13,11.92,3.48,4.38,1.98,2.4,6.43,7.73,4.81,2.92,
1001,2/16/2017,0,100.29,4.3,6.99,1.56,1.59,15.28,-0.63,15.91,6.53,1.94,2.57,1.41,1.16,3.7,5.49,1.86,3.63,
1001,2/17/2017,0.01,100.18,5.76,9.69,5.6,5.6,18.72,1.21,17.51,9.64,1.82,2.42,0.6,1.82,4.13,6.28,0.73,5.55,
1001,2/18/2017,0.77,99.89,8.5,12.98,11.42,11.42,17.7,8.47,9.23,12.22,1.4,1.74,0.73,1.01,2.7,4.43,1.49,2.95,
1001,2/19/2017,0.04,100.3,9,15.32,12.38,12.38,22.7,9.59,13.11,14.29,1.86,2.24,1.28,0.96,3.13,4.95,2.35,2.6,
1001,2/20/2017,0.07,100.44,9.16,15.02,12.65,12.65,22.32,8.99,13.33,14.94,1.93,2.42,0.71,1.7,4.62,7.01,0.93,6.08,
1001,2/21/2017,16.05,99.85,10.18,15.39,14.25,14.25,18.66,13.44,5.22,15.32,2.38,4.28,1.01,3.27,4.69,6.88,1.92,4.96,1.5014
1001,2/22/2017,2.74,99.46,10.85,17.17,15.14,15.14,23.01,13.61,9.4,17.08,1.87,2.92,0.88,2.04,3.87,5.46,2.21,3.25,
1001,2/23/2017,0.08,99.49,10.98,17.62,15.31,15.31,24.22,12.16,12.06,17.6,1.96,2.45,1.26,1.19,4.25,6.24,2.81,3.43,
1001,2/24/2017,0.03,99.41,11.4,18.83,15.9,15.9,25.11,12.44,12.67,18.8,2.65,3.47,1.73,1.74,5.41,6.6,3.1,3.5,
1001,2/25/2017,0.28,100.02,5.97,11.94,5.18,5.21,17.18,2.88,14.31,11.9,3.37,4.39,1.98,2.41,6.24,7.54,4.79,2.76,
1001,2/26/2017,0,100.68,4.44,8.02,1.91,1.94,17.43,-0.49,17.92,8.1,1.91,2.66,0.96,1.7,4.16,7.66,1.28,6.38,
1001,2/27/2017,15.9,100.64,8.4,12.26,10.83,10.83,17.5,4.97,12.53,12.26,2.03,3.81,0.95,2.86,4.24,6.09,1.44,4.65,
1001,2/28/2017,0.42,100.56,11.73,18.25,16.49,16.49,24.01,13.92,10.09,18.21,2.93,4.52,1.9,2.62,5.75,7.35,3.91,3.45,0.7508
1001,3/1/2017,6.54,100.09,12.13,19.34,16.73,16.73,25.63,11.38,14.25,19.22,3.54,5.14,2.41,2.73,6.76,8.75,4.99,3.76,
1001,3/2/2017,0.09,101.07,4.51,8.96,2.34,2.37,14.46,3.43,11.03,8.97,3.15,4.06,2.07,1.99,6.31,7.27,5.48,1.78,
1001,3/3/2017,0,101.77,4.08,7.53,1.15,1.18,15.69,1.16,14.53,7.43,2.54,3.89,1.73,2.16,5.32,6.93,2.65,4.28,
1001,3/4/2017,0,101.78,4.54,8.37,2.32,2.35,17.24,0.07,17.17,8.36,2.18,2.85,1.45,1.4,4.7,6.46,2.47,3.99,
1001,3/5/2017,0,101.4,6.93,11.7,8.36,8.36,17.5,6.14,11.36,11.71,2.02,2.52,1.57,0.95,4.57,6.22,2.64,3.58,
1001,3/6/2017,0,101.01,8.85,15.31,12.27,12.27,20.98,10.62,10.36,15.23,3.16,4.81,1.87,2.94,6.25,7.82,4.91,2.92,
1001,3/7/2017,31.45,100.79,10.76,16.39,15.05,15.05,21.04,12.34,8.7,16.33,3.12,4.08,1.55,2.54,5.84,7.31,3.21,4.1,0.7508
1001,3/8/2017,0.36,101.15,5.53,13.29,5.13,5.15,19.79,7.05,12.74,12.11,2.23,2.94,1.46,1.48,3.94,5.66,2.7,2.97,
1001,3/9/2017,0.75,100.77,7.8,14.7,9.68,9.68,23.18,5.7,17.48,14.35,2.04,2.56,0.99,1.57,4.08,6.43,1.38,5.05,
1001,3/10/2017,6.62,100.55,8.74,15.71,11.44,11.44,21.6,6.7,14.9,15.6,3.07,4.3,1.91,2.39,6.13,7.23,4.87,2.37,
1001,3/11/2017,15.49,100.87,5.07,7.9,4.04,4.05,12.84,3.66,9.18,8.02,2.16,2.62,1.88,0.73,3.79,5.16,2.84,2.32,
1001,3/12/2017,4,100.81,5.23,8.25,4.44,4.45,15.32,3.45,11.87,8.47,2.65,3.22,1.84,1.37,4.71,6.4,3.61,2.8,
1001,3/13/2017,8.44,100.26,5.65,6.71,5.49,5.49,9.08,4.24,4.84,6.82,2.14,3.02,0.28,2.74,3.62,5.32,0.32,5,
1001,3/14/2017,0.14,100.46,4.29,5.85,1.59,1.61,10.43,0.11,10.32,6,3.43,4.75,2.06,2.69,5.94,7.43,4.32,3.11,0
1001,3/15/2017,0,101.28,2.65,1.6,-4.7,-4.57,8.4,-3.14,11.53,1.81,2.53,3.57,1.9,1.67,4.76,5.9,4.04,1.86,
1001,3/16/2017,0,101.37,3.07,5.26,-2.94,-2.86,13.13,-4.39,17.52,4.26,1.31,2.04,0.6,1.44,2.24,3.93,0.79,3.14,
1001,3/17/2017,0,101.13,6.41,11.85,6.71,6.73,20.38,2.57,17.8,11.22,2.17,3.06,1.26,1.8,4.15,7.13,1.78,5.35,
1001,3/18/2017,1.16,100.78,9.38,15.47,13.03,13.03,22.07,9.5,12.57,15.38,3.07,3.94,2.11,1.83,6.1,6.99,5.34,1.65,
1001,3/19/2017,0,100.93,6.01,12.09,6.38,6.39,19.88,4.64,15.24,11.87,2.24,2.8,1.74,1.06,4.46,5.33,3.77,1.56,
1001,3/20/2017,0,100.6,9.23,16.28,12.19,12.19,25.37,6.92,18.45,16.33,1.94,2.59,1.12,1.47,4.34,6.99,1.54,5.45,
1001,3/21/2017,0,100.24,11.7,19.9,16.44,16.44,27.74,13.96,13.78,19.83,2.38,2.9,2,0.91,5.25,7.31,3.58,3.73,0
1001,3/22/2017,0,100.57,9,16.7,12.35,12.35,23.11,10.54,12.57,16.68,2.43,3.44,1.84,1.61,4.81,5.68,3.91,1.77,
1001,3/23/2017,0,100.98,8.7,16.03,11.79,11.79,23.54,8.72,14.82,16.12,2.95,3.85,1.84,2.01,5.52,7.01,4.12,2.89,
1001,3/24/2017,0.09,100.94,10.06,17.65,14.17,14.17,23.14,12.87,10.27,17.68,3.12,4.48,2.15,2.33,5.89,7.15,4.97,2.18,
1001,3/25/2017,20.67,100.43,11.21,18.27,15.76,15.76,24.16,13.93,10.23,18.29,2.86,4.61,1.81,2.8,5.53,7.44,4.63,2.8,
1001,3/26/2017,3.31,100.19,12.03,19.8,16.89,16.89,25.49,15.78,9.71,19.81,2.76,3.77,1.83,1.94,5.61,6.72,4.41,2.31,
1001,3/27/2017,1.09,100.07,12.36,19.54,17.3,17.3,24.43,16.23,8.21,19.47,2.55,3.76,1.71,2.04,5.28,6.47,2.72,3.75,
1001,3/28/2017,1.18,99.99,12.96,21.6,18.01,18.01,26.99,16.94,10.05,21.07,2.14,3.2,0.98,2.21,4.01,5.6,1.54,4.06,0
1001,3/29/2017,0.01,99.98,12.16,21.03,17.02,17.02,27.49,16.66,10.83,20.78,1.87,2.82,0.71,2.11,3.97,7.19,1.05,6.14,
1001,3/30/2017,5.66,99.6,12.79,19.09,17.74,17.74,23.02,16.23,6.79,19.05,2.55,3.6,1.81,1.8,5.05,6.11,3.09,3.02,
1001,3/31/2017,0.28,99.67,9.16,16.81,12.55,12.55,22.84,11.59,11.25,16.75,2.51,3.57,1.63,1.94,4.95,6.17,2.92,3.25,
1001,4/1/2017,0,100.24,9.04,17.13,12.43,12.43,25.41,9.9,15.51,17.1,1.95,2.32,1.57,0.75,4.18,6.28,2.68,3.6,
1001,4/2/2017,1.09,100.08,10.21,18.46,14.13,14.14,26.82,10.02,16.81,18.48,2.24,3.08,1.34,1.74,4.81,7.01,1.92,5.09,
1001,4/3/2017,40.71,99.28,13.77,20.26,18.76,18.76,25.68,16.42,9.26,20.17,3.64,5.05,1.93,3.13,7.05,9.16,5.04,4.12,
1001,4/4/2017,0.13,99.56,10.9,19.93,15.21,15.21,27.47,13.28,14.2,19.91,1.71,2.42,0.33,2.09,3.96,6.77,0.56,6.21,0
1001,4/5/2017,22.74,99.27,14.19,21.45,18.74,18.74,27.45,12.65,14.8,21.34,3.94,5.13,2.28,2.85,7.46,9.32,5.54,3.78,
1001,4/6/2017,0.01,100.08,5.75,12.45,5.77,5.78,16.77,9.09,7.68,12.52,4.29,5.96,2.38,3.58,8,9.64,5.45,4.19,
1001,4/7/2017,0,100.49,5.64,11.66,5.52,5.53,18.24,6.01,12.23,11.73,2.78,4.05,1.9,2.15,5.71,7.12,3.02,4.1,
1001,4/8/2017,0,100.48,5.37,13.04,4.8,4.81,21.33,3.58,17.75,12.28,1.43,2.49,0.62,1.87,2.75,5.17,0.78,4.4,
1001,4/9/2017,0,100.5,7.24,15.08,8.96,8.96,23.56,6.76,16.8,14.84,2.09,2.68,0.4,2.28,4.41,7.39,0.53,6.86,
1001,4/10/2017,0,100.73,9.2,16.98,12.71,12.71,24.96,9.07,15.9,16.97,2.09,2.71,1.34,1.37,4.5,6.18,1.94,4.24,
1001,4/11/2017,0,100.8,10.88,19.67,15.38,15.38,26.38,13.37,13.01,19.38,1.51,1.84,0.87,0.97,3.01,5.12,1.34,3.78,0
1001,4/12/2017,0.42,100.78,11.03,20.87,15.6,15.6,27.16,16.06,11.1,20.08,1.14,1.94,0.41,1.53,2.05,3.53,0.79,2.74,
1001,4/13/2017,0,100.76,10.77,21.13,15.16,15.16,28.68,14.13,14.55,20.66,1.44,2.08,0.46,1.62,2.79,5.65,0.69,4.96,
1001,4/14/2017,0,100.79,11.34,20.78,16.04,16.04,27.26,15.29,11.97,20.56,2.05,3.26,1.03,2.23,4.31,6.61,1.47,5.15,
1001,4/15/2017,0,100.83,11.7,20.4,16.55,16.55,26.41,15.47,10.95,20.43,2.21,2.97,1.58,1.39,4.72,6.03,3.09,2.94,
1001,4/16/2017,0,100.7,11.32,19.69,16,15.99,26.01,14.4,11.61,19.62,1.79,2.24,1.43,0.8,3.73,5.91,2.28,3.63,
1001,4/17/2017,0.28,100.41,12.53,21.07,17.54,17.54,27.15,15.3,11.84,21.02,1.71,2.13,1.26,0.87,3.48,5.14,2.38,2.76,
1001,4/18/2017,0.01,100.48,11.86,21.57,16.69,16.69,28.28,15.79,12.49,21.28,1.56,2.17,0.51,1.65,2.96,4.04,0.82,3.22,1
1001,4/19/2017,0.06,100.67,12.32,21.15,17.28,17.28,26.46,15.84,10.62,20.77,1.46,2,0.63,1.37,2.85,5.08,1,4.08,
1001,4/20/2017,0.01,100.47,12.83,22.65,17.91,17.91,29.1,16.82,12.29,22.61,1.39,2.13,0.33,1.8,3.05,5.92,0.49,5.42,
1001,4/21/2017,0,100.01,12.58,22.29,17.55,17.55,28.96,16.33,12.63,22.31,1.95,2.65,1.32,1.33,4.26,6.53,1.98,4.54,
1001,4/22/2017,1.69,99.67,12.31,20.87,17.16,17.16,27,14.83,12.17,20.92,2.27,2.93,1.5,1.42,4.63,5.94,2.95,2.99,
1001,4/23/2017,10.77,99.53,9.2,15.34,12.5,12.5,19.45,9.89,9.57,15.45,2.71,3.93,1.65,2.28,4.61,6.34,3.41,2.93,
1001,4/24/2017,0.38,99.41,8.35,14.72,11.12,11.12,20.82,9.78,11.05,14.47,2.15,2.81,1.44,1.37,3.52,4.27,2.43,1.84,
1001,4/25/2017,0,99.33,9.87,18.21,13.6,13.6,26.09,9.86,16.23,18.02,1.75,2.18,1.02,1.16,3.33,6,1.43,4.56,1.0385
1001,4/26/2017,0.27,99.26,11.13,20.23,15.52,15.52,27.19,12.79,14.39,20.3,2.62,3.47,1.29,2.18,5.26,7.45,1.96,5.49,
1001,4/27/2017,13.06,99.36,12.88,21.83,17.55,17.55,26.1,16.27,9.83,21.1,2.78,4.28,0.83,3.45,4.9,8.26,1.19,7.07,
1001,4/28/2017,0.33,99.9,14.9,23.47,20.19,20.19,28.91,16.53,12.38,23.43,2.91,4.13,1.93,2.19,5.97,6.94,4.65,2.29,
1001,4/29/2017,0,100.16,15.12,23.6,20.52,20.52,27.71,20.04,7.67,23.52,2.9,3.9,1.86,2.04,5.86,6.86,3.79,3.07,
1001,4/30/2017,2.47,99.85,14.82,24.18,20.13,20.13,29.06,20.6,8.46,24.17,4.3,5.85,2.87,2.98,7.88,10.03,6.23,3.8,
1001,5/1/2017,35.53,99.83,9.83,18.93,13.15,13.15,23.71,11.83,11.88,18.89,3.32,4.56,1.85,2.72,6.44,8.6,4.05,4.56,
=======
fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
1001,1/3/2017,18.82,99.69,9.74,14.24,13.44,13.44,18.48,9.29,9.2,14.06,2.25,3.73,1.64,2.09,4.8,7.27,2.54,4.72,2
1001,1/4/2017,0.01,100.02,5.21,8.1,3.86,3.88,11.74,2.12,9.62,8.08,2.63,3.95,1.34,2.6,4.98,6.16,3.36,2.8,
1001,1/5/2017,0.01,99.89,4.54,5.91,2.2,2.22,13.07,-0.18,13.24,5.85,1.76,2.76,0.47,2.28,3.43,4.7,0.66,4.04,
1001,1/6/2017,19.85,100.34,3.31,0.35,-2.02,-2,4.74,-4.25,8.99,0.42,3.31,3.98,2.15,1.83,5.29,6.03,3.82,2.21,
1001,1/7/2017,0.06,101.59,1.8,-6.49,-9.4,-9.28,-1.02,-11.57,10.55,-7.05,3.64,4.47,2.84,1.63,6.51,7.68,4.75,2.94,
1001,1/8/2017,0,102.36,1.87,-6.38,-9.11,-9.02,0.68,-12.89,13.57,-8.36,2.18,2.81,1.16,1.65,3.69,4.66,1.93,2.73,
1001,1/9/2017,0,101.98,2.67,-2.14,-4.85,-4.81,5.2,-9.54,14.74,-3.05,2.39,2.74,1.7,1.04,4.61,7.01,2.77,4.23,
1001,1/10/2017,0.02,101.13,5.62,5.92,4.54,4.55,12.42,-2.37,14.79,5.81,3.22,4.24,2.52,1.72,6.19,7.55,4.68,2.86,2
1001,1/11/2017,0.33,100.81,9.71,14.38,13.49,13.49,20.24,9.97,10.27,14.21,2.88,4.24,2.26,1.98,5.73,7.01,4.76,2.25,
1001,1/12/2017,0.09,101.03,10.27,15.69,14.45,14.45,22.6,10.66,11.94,15.54,2.31,3.1,1.54,1.55,5.03,6.22,3.36,2.87,
1001,1/13/2017,0,101.5,9.8,16.7,13.88,13.88,23.88,10.98,12.91,15.8,1.57,2.21,0.73,1.48,3.11,5.52,1.24,4.29,
1001,1/14/2017,0,101.42,8.73,16.9,12.09,12.09,23.12,11.37,11.75,14.44,0.95,2.09,0.36,1.73,1.43,3.76,0.53,3.24,
1001,1/15/2017,0,100.95,8.81,15.88,12.17,12.17,21.21,11.65,9.56,14.23,1.19,2.18,0.44,1.74,2.33,5.99,0.58,5.41,
1001,1/16/2017,0,100.73,9.69,15.81,13.55,13.55,22.07,10.72,11.35,15.71,2.33,3.11,1.87,1.24,5.05,6.42,3.19,3.23,
1001,1/17/2017,0.14,100.6,11.41,17.21,16.06,16.06,23.03,13.15,9.88,17.1,2.24,3.61,1.71,1.9,4.93,5.9,2.76,3.15,2
1001,1/18/2017,0.28,100.49,11.25,17.66,15.87,15.87,22.27,14.88,7.39,17.18,1.48,1.99,0.88,1.11,3.03,4.86,1.33,3.53,
1001,1/19/2017,27.01,99.81,12.32,17.53,17.15,17.15,21.02,14.52,6.5,17.43,2.59,3.85,1.61,2.24,5.3,7.49,3.32,4.17,
1001,1/20/2017,6.78,99.47,12.22,18.12,17,17,22.51,14.87,7.65,18.03,2.19,3.81,1.42,2.39,4.79,7.4,3.09,4.31,
1001,1/21/2017,37.95,99.02,12.76,18.19,17.63,17.63,20.88,17.13,3.75,18.1,2.52,4.07,1.26,2.81,5.18,7.34,3.23,4.11,
1001,1/22/2017,31.59,97.97,10.48,15.45,13.87,13.87,21.7,9.38,12.32,15.36,3.4,8.13,1.61,6.52,6.14,12.19,2.69,9.49,
1001,1/23/2017,0.85,98.79,6.99,11.56,8.4,8.4,16.39,7.07,9.32,11.53,4.44,6.09,2.35,3.74,7.79,10.25,5.03,5.22,
1001,1/24/2017,0,99.72,5.6,9.27,5.34,5.35,16.23,4.18,12.06,8.95,1.82,2.34,1.03,1.31,3.52,6.49,1.47,5.02,1
1001,1/25/2017,8.16,99.57,9,13.37,11.81,11.81,20.23,4.82,15.41,13.27,2.53,3.42,1.77,1.64,5.13,6.67,2.66,4.01,
1001,1/26/2017,1.51,100.18,5.52,9.54,4.65,4.66,15.18,3.4,11.78,9.49,2.98,3.84,2.02,1.82,5.7,6.37,4.78,1.59,
1001,1/27/2017,0,100.6,3.64,3.63,-0.61,-0.58,8.21,0.05,8.17,3.73,2.56,4.12,1.64,2.48,5.01,6.37,3.67,2.7,
1001,1/28/2017,0,100.45,3.58,4.01,-0.85,-0.81,11.15,-2.01,13.16,4.05,2.39,4.15,1.01,3.14,4.97,6.99,1.71,5.28,
1001,1/29/2017,0,100.19,4.3,5.63,1.69,1.7,12.96,0.06,12.9,5.65,2.85,4.7,1.78,2.92,5.63,7.71,3.5,4.21,
1001,1/30/2017,0,100.52,4.89,6.42,3.34,3.35,14.88,-1.13,16.01,6.37,2.11,2.83,1.33,1.5,4.65,6.82,1.9,4.93,
1001,1/31/2017,0,100.37,7.31,11.38,9.21,9.21,20.29,5.05,15.24,11.32,2.31,3,1.76,1.24,5,7.4,2.88,4.52,1
1001,2/1/2017,0,100.47,8.44,13.3,11.46,11.46,20.11,7.41,12.7,13.2,2.37,3.64,1.7,1.94,5.25,5.84,3.69,2.15,
1001,2/2/2017,1.43,100.66,9.1,13.75,12.46,12.46,20.82,8.1,12.72,13.68,1.88,2.6,0.95,1.65,3.75,5.65,1.92,3.73,
1001,2/3/2017,0.33,101.03,4.85,7.45,3.2,3.22,13.34,0.68,12.66,7.52,2.71,3.99,1.86,2.13,4.69,6.54,3.03,3.51,
1001,2/4/2017,0,101.17,3.61,4.32,-0.88,-0.84,12.04,-2.74,14.78,4.39,2.09,2.9,1.35,1.55,4.19,6.38,2.05,4.32,
1001,2/5/2017,12.8,100.75,6.24,7.65,6.92,6.92,11.21,3.73,7.48,7.61,1.21,1.98,0.69,1.29,2.37,4.67,1.25,3.42,
1001,2/6/2017,1.02,100.46,9.29,13.88,12.71,12.71,20.09,8.53,11.56,13.86,2,2.64,1.12,1.52,4.17,6.06,2.82,3.24,
1001,2/7/2017,28.64,99.59,11.06,15.61,15.39,15.39,18.65,12.1,6.55,15.37,2.78,4.4,1.65,2.76,5.61,7.67,3.76,3.91,1
1001,2/8/2017,3.45,99.36,11.66,17.41,16.17,16.17,22.31,13.16,9.15,17.29,2.56,5.95,1.65,4.31,5.35,9.76,2.85,6.91,
1001,2/9/2017,0.01,100.89,4.04,6.53,0.77,0.8,11.88,1.08,10.8,6.57,3.38,5.1,1.54,3.56,6.13,8.42,3.79,4.64,
1001,2/10/2017,0,101.16,4.94,7.78,3.11,3.13,17.03,-0.53,17.55,7.72,2.32,3.07,1.69,1.38,4.89,7.09,2.81,4.28,
1001,2/11/2017,0,100.58,10.42,15.8,14.31,14.31,22.47,7.33,15.14,15.78,2.93,3.72,2.22,1.5,5.79,6.93,3.87,3.06,
1001,2/12/2017,0.26,100.45,11.91,18.91,16.58,16.58,23.89,12.49,11.39,18.81,2.97,4.14,1.79,2.34,5.78,7.42,4.38,3.04,
1001,2/13/2017,0,100.6,5.35,10.56,4.65,4.66,17.69,5.34,12.35,10.35,2.31,3.07,1.41,1.66,4.56,6.06,2.62,3.44,
1001,2/14/2017,0.2,99.79,6.63,11.73,7.41,7.41,19.77,3.61,16.16,11.68,1.73,3.03,0.35,2.68,3.84,6.75,0.39,6.36,1
1001,2/15/2017,6.42,99.47,7.1,11.98,8.01,8.01,16.3,3.3,13,11.92,3.48,4.38,1.98,2.4,6.43,7.73,4.81,2.92,
